Routes Data:
           route_id  agency_id route_short_name route_long_name  route_type
179   2-RX6-W-j25-1          1             REX6            REX6           2
180   2-RX7-V-j25-1          1             REX7            REX7           2
181   2-RX7-W-j25-1          1             REX7            REX7           2
182   2-RX8-M-j25-1          1             REX8            REX8           2
183   2-RX8-W-j25-1          1             REX8            REX8           2
184   3-101-D-j25-1          1            101-D             NaN           2
185   3-103-D-j25-1          1            103-D             NaN           2
186   3-130-O-j25-1          1            130-O             NaN           2
187   3-140-O-j25-1          1            140-O             NaN           2
188   3-150-O-j25-1          1            150-O             NaN           2
189   3-190-S-j25-1          1            190-S             NaN           2
190   3-221-S-j25-1          1            221-S             NaN           2
191   3-251-S-j25-1          1            251-S             NaN           2
192  32-592-0-j25-1          1            ICBus           ICBus           3
193   3-499-M-j25-1          1            499-M             NaN           2
194   3-501-M-j25-1          1            501-M             NaN           2
195   3-502-M-j25-1          1            502-M             NaN           2
196   3-520-N-j25-1          1            520-N             NaN           2
197   3-530-M-j25-1          1            530-M             NaN           2
198   3-620-K-j25-1          1            620-K             NaN           2
199   3-810-W-j25-1          1            810-W             NaN           2
200   3-903-W-j25-1          1            903-W             NaN           2
201   3-907-W-j25-1          1            907-W             NaN           2
202    3-R1-O-j25-1          1               R1              R1           2
203    3-R1-V-j25-1          1               R1              R1           2
204     3-R21-j25-1          1              R21             R21           2
205    3-R2-O-j25-1          1               R2              R2           2
206    3-R2-V-j25-1          1               R2              R2           2
207   3-R33-O-j25-1          1              R33             R33           2
208    3-R3-O-j25-1          1               R3              R3           2
209    3-R3-S-j25-1          1               R3              R3           2
210    3-R3-W-j25-1          1               R3              R3           2
211   3-R40-W-j25-1          1              R40             R40           2
212   3-R41-W-j25-1          1              R41             R41           2
213   3-R42-O-j25-1          1              R42             R42           2
214   3-R44-N-j25-1          1              R44             R44           2
215    3-R4-O-j25-1          1               R4              R4           2
216   3-R50-O-j25-1          1              R50             R50           2
217   3-R51-O-j25-1          1              R51             R51           2
218   3-R52-A-j25-1          1              R52             R52           2
219   3-R53-A-j25-1          1              R53             R53           2
220   3-R53-O-j25-1          1              R53             R53           2
221   3-R54-N-j25-1          1              R54             R54           2
222   3-R55-N-j25-1          1              R55             R55           2
223   3-R57-O-j25-1          1              R57             R57           2
224     3-R58-j25-1          1              R58             R58           2
225    3-R5-V-j25-1          1               R5              R5           2
226    3-R5-W-j25-1          1               R5              R5           2
227   3-R62-N-j25-1          1              R62             R62           2
228   3-R64-N-j25-1          1              R64             R64           2
229    3-R6-T-j25-1          1               R6              R6           2
230   3-R70-O-j25-1          1              R70             R70           2
231   3-R71-O-j25-1          1              R71             R71           2
232   3-R72-O-j25-1          1              R72             R72           2
233   3-R81-W-j25-1          1              R81             R81           2
234   3-R91-A-j25-1          1              R91             R91           2
235   3-R92-N-j25-1          1              R92             R92           2
236   3-R93-A-j25-1          1              R93             R93           2
237   3-R95-N-j25-1          1              R95             R95           2
238   3-R96-N-j25-1          1              R96             R96           2
239   3-R97-N-j25-1          1              R97             R97           2
240   3-R98-N-j25-1          1              R98             R98           2
241    3-R9-S-j25-1          1               R9              R9           2
242     3-RW1-j25-1          1               R1              R1           2
243   4-CJ1-T-j25-1          1             CJX1            CJX1           2
244   4-CJ5-X-j25-1          1             CJX5            CJX5           2
245   4-CX9-W-j25-1          1             CJX9            CJX9           2

Trips Data:
            route_id service_id                     trip_id             shape_id                          trip_headsign trip_short_name  direction_id  block_id
0       10-A10-j25-1   TA+gvw20       1.TA.10-A10-j25-1.1.R     10-A10-j25-1.1.R                   Villach Hauptbahnhof          RJ 639             1       NaN
1       10-A10-j25-1   TA+evw20       2.TA.10-A10-j25-1.2.R     10-A10-j25-1.2.R        Spittal-Millstätter See Bahnhof          RJ 639             1       NaN
2       10-A11-j25-1   TA+07y20       1.TA.10-A11-j25-1.1.R     10-A11-j25-1.1.R                        Budapest-Keleti         RJX 165             1     430.0
3       10-A11-j25-1   TA+nqw20      10.TA.10-A11-j25-1.3.H     10-A11-j25-1.3.H                              Zürich HB         RJX 264             0       NaN
4       10-A11-j25-1   TA+fww20      11.TA.10-A11-j25-1.4.H     10-A11-j25-1.4.H                  Salzburg Hauptbahnhof         RJX 264             0       NaN
5       10-A11-j25-1   TA+31y20      12.TA.10-A11-j25-1.5.H     10-A11-j25-1.5.H                      Feldkirch Bahnhof         RJX 566             0       NaN
6       10-A11-j25-1   TA+41y20      13.TA.10-A11-j25-1.5.H     10-A11-j25-1.5.H                      Feldkirch Bahnhof         RJX 566             0       NaN
7       10-A11-j25-1   TA+51y20      14.TA.10-A11-j25-1.5.H     10-A11-j25-1.5.H                      Feldkirch Bahnhof         RJX 562             0       NaN
8       10-A11-j25-1   TA+11y20      15.TA.10-A11-j25-1.5.H     10-A11-j25-1.5.H                      Feldkirch Bahnhof         RJX 562             0       NaN
9       10-A11-j25-1   TA+qww20      16.TA.10-A11-j25-1.5.H     10-A11-j25-1.5.H                      Feldkirch Bahnhof         RJX 560             0       NaN
